name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
Hyundai i20,2010,285000.0,203806.0,Petrol,Individual,Manual,Fourth & Above
Hyundai Creta,2009,157000.0,62598.0,CNG,Individual,Manual,Third Owner
Hyundai i20,2011,741000.0,150576.0,Electric,Individual,Automatic,Third Owner
Volkswagen Polo,2008,45000.0,237209.0,Petrol,Dealer,Manual,Second Owner
Tata Tiago,2023,1030000.0,25679.0,Diesel,Dealer,Manual,First Owner
Toyota Innova,2012,396000.0,115214.0,Diesel,Dealer,Manual,First Owner
Honda City,2008,45000.0,260907.0,Petrol,Individual,Manual,Second Owner
Maruti Baleno,2009,192000.0,186885.0,Diesel,Individual,Manual,Second Owner
Tata Nexon,2021,,81734.0,Diesel,Trustmark Dealer,Manual,Second Owner
Toyota Fortuner,2020,820000.0,93898.0,Petrol,Dealer,Automatic,Second Owner
Mahindra XUV500,2012,225000.0,145021.0,Petrol,Individual,Automatic,First Owner
Volkswagen Polo,2024,1137000.0,15736.0,Diesel,Dealer,Manual,Third Owner
Mahindra XUV500,2011,299000.0,168155.0,Petrol,Individual,Automatic,First Owner
Hyundai i20,2019,687000.0,76043.0,CNG,Individual,Automatic,Second Owner
Skoda Rapid,2015,589000.0,166170.0,Diesel,Individual,Automatic,First Owner
Ford EcoSport,2022,1053000.0,23567.0,Diesel,Individual,Manual,First Owner
Mahindra XUV500,2017,807000.0,85728.0,Electric,Individual,Manual,Third Owner
Toyota Innova,2023,1082000.0,30236.0,Diesel,Individual,Manual,First Owner
Volkswagen Polo,2011,128000.0,291569.0,Petrol,Trustmark Dealer,Automatic,First Owner
Hyundai i20,2021,733000.0,54441.0,Petrol,Individual,Manual,First Owner
Renault Kwid,2011,307000.0,223126.0,Diesel,Individual,Manual,Third Owner
Toyota Fortuner,2016,569000.0,143582.0,Petrol,Individual,Manual,Second Owner
Hyundai i20,2013,254000.0,107860.0,Petrol,Individual,Manual,Third Owner
Hyundai i20,2011,116000.0,162975.0,CNG,Individual,Manual,First Owner
Tata Tiago,2022,944000.0,46541.0,CNG,Individual,Manual,First Owner
Renault Kwid,2023,4500000.0,31609.0,Petrol,Individual,Manual,First Owner
Tata Nexon,2015,486000.0,94402.0,Petrol,Individual,Manual,Third Owner
Toyota Fortuner,2016,569000.0,143582.0,Petrol,Individual,Manual,Second Owner
Maruti Swift,2013,414000.0,181987.0,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2012,186000.0,141415.0,Petrol,Individual,Automatic,First Owner
Honda City,2012,393000.0,87626.0,Diesel,Individual,Manual,First Owner
Tata Nexon,2011,244000.0,161197.0,Petrol,Dealer,Manual,First Owner
Honda City,2023,1246000.0,25715.0,Diesel,Individual,Manual,Second Owner
Mahindra XUV500,2015,599000.0,121441.0,Petrol,Individual,Manual,First Owner
Honda City,2016,521000.0,99362.0,Diesel,Individual,Manual,Second Owner
Maruti Baleno,2016,486000.0,137158.0,Petrol,Individual,Automatic,First Owner
Hyundai Creta,2010,159000.0,261359.0,Petrol,Trustmark Dealer,Manual,Second Owner
Hyundai Creta,2010,144000.0,176774.0,Petrol,Dealer,Manual,Second Owner
Toyota Innova,2024,1058000.0,20170.0,Diesel,Individual,Automatic,First Owner
Maruti Baleno,2012,381000.0,116988.0,Diesel,Individual,Manual,Second Owner
Skoda Rapid,2017,609000.0,87235.0,Petrol,Dealer,Manual,First Owner
Ford EcoSport,2023,1070000.0,24831.0,Diesel,Individual,Automatic,Fourth & Above
Honda Amaze,2017,651000.0,78750.0,Petrol,Trustmark Dealer,Manual,First Owner
Toyota Fortuner,2014,,92744.0,Petrol,Individual,Automatic,First Owner
Volkswagen Polo,2012,381000.0,199553.0,Diesel,Dealer,Manual,Second Owner
Hyundai Creta,2010,228000.0,228352.0,Diesel,Individual,Manual,Second Owner
Honda City,2021,680000.0,27063.0,Petrol,Dealer,Manual,Third Owner
Honda Amaze,2020,825000.0,78283.0,Petrol,Individual,Automatic,First Owner
Honda Amaze,2016,412000.0,82937.0,CNG,Dealer,Automatic,Second Owner
Maruti Swift,2010,168000.0,189294.0,Petrol,Trustmark Dealer,Manual,First Owner
Hyundai Creta,2020,858000.0,16272.0,Petrol,Individual,Manual,Second Owner
Honda Amaze,2021,992000.0,,CNG,Individual,Manual,Third Owner
Honda City,2018,644000.0,109801.0,Diesel,Individual,Manual,Second Owner
Honda Amaze,2021,842000.0,64072.0,Petrol,Trustmark Dealer,Manual,Second Owner
Mahindra XUV500,2017,670000.0,53664.0,Diesel,Individual,Automatic,First Owner
Mahindra XUV500,2009,278000.0,249826.0,Diesel,Dealer,Automatic,First Owner
Renault Kwid,2014,480000.0,149463.0,Petrol,Individual,Manual,Second Owner
Hyundai Creta,2019,787000.0,82823.0,Diesel,Individual,Automatic,First Owner
Toyota Innova,2008,64000.0,188263.0,Diesel,Dealer,Manual,First Owner
Maruti Baleno,2016,639000.0,97684.0,Diesel,Individual,Automatic,Second Owner
Honda City,2011,299000.0,126011.0,Diesel,Individual,Automatic,Second Owner
Renault Kwid,2015,390000.0,138051.0,Petrol,Individual,Manual,First Owner
Tata Nexon,2022,873000.0,38379.0,Diesel,Trustmark Dealer,Manual,First Owner
Volkswagen Polo,2020,808000.0,80875.0,Diesel,Trustmark Dealer,Manual,First Owner
Tata Tiago,2024,1146000.0,26892.0,Diesel,Individual,Manual,Second Owner
Honda City,2021,1035000.0,66242.0,Petrol,Individual,Automatic,First Owner
Volkswagen Polo,2021,955000.0,59146.0,Petrol,Individual,Manual,First Owner
Ford EcoSport,2010,133000.0,138331.0,Diesel,Individual,Automatic,Second Owner
Toyota Fortuner,2011,249000.0,255492.0,CNG,Dealer,Manual,Second Owner
Honda City,2021,901000.0,64217.0,CNG,Trustmark Dealer,Manual,First Owner
Toyota Innova,2022,964000.0,38697.0,Petrol,Dealer,Manual,Fourth & Above
Honda City,2008,96000.0,156852.0,Petrol,Individual,Manual,Second Owner
Maruti Baleno,2009,128000.0,267724.0,Petrol,Individual,Manual,First Owner
Toyota Fortuner,2022,847000.0,54014.0,CNG,Individual,Automatic,First Owner
Hyundai Creta,2013,319000.0,123211.0,Petrol,Individual,Automatic,Second Owner
Renault Kwid,2019,695000.0,104324.0,CNG,Dealer,Manual,First Owner
Renault Kwid,2021,911000.0,56362.0,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500,2014,331000.0,105194.0,Petrol,Dealer,Manual,First Owner
Maruti Baleno,2016,542000.0,118722.0,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2009,148000.0,167223.0,Diesel,Individual,Manual,Third Owner
Toyota Innova,2024,1257000.0,25253.0,Petrol,Individual,Manual,First Owner
Skoda Rapid,2015,558000.0,128135.0,Petrol,Individual,Manual,Second Owner
Maruti Swift,2012,334000.0,183651.0,CNG,Individual,Manual,First Owner
Renault Kwid,2010,126000.0,150966.0,Diesel,Individual,Manual,Second Owner
Hyundai i20,2024,1154000.0,22310.0,Diesel,Individual,Manual,Second Owner
Renault Kwid,2022,815000.0,55652.0,CNG,Dealer,Manual,First Owner
Hyundai Creta,2012,144000.0,25321.0,Petrol,Individual,Manual,Second Owner
Maruti Baleno,2010,139000.0,147847.0,Petrol,Individual,Manual,Second Owner
Ford EcoSport,2022,831000.0,45112.0,Diesel,Individual,Manual,Third Owner
Tata Tiago,2019,642000.0,77766.0,Petrol,Dealer,Manual,First Owner
Renault Kwid,2024,1096000.0,16701.0,Diesel,Dealer,Manual,Fourth & Above
Tata Nexon,2011,386000.0,193406.0,Diesel,Individual,Manual,First Owner
Honda Amaze,2012,239000.0,110464.0,Petrol,Individual,Manual,First Owner
Maruti Baleno,2009,45000.0,257265.0,Petrol,Individual,Manual,First Owner
Honda City,2008,45000.0,240626.0,Petrol,Individual,Manual,First Owner
Toyota Innova,2013,329000.0,61684.0,Diesel,Individual,Manual,First Owner
Hyundai i20,2014,434000.0,122147.0,CNG,Individual,Manual,First Owner
Volkswagen Polo,2021,821000.0,70742.0,CNG,Individual,Automatic,First Owner
Tata Nexon,2017,503000.0,75620.0,Petrol,Individual,Manual,First Owner
Honda City,2022,912000.0,56548.0,Petrol,Dealer,Manual,Fourth & Above
Toyota Innova,2012,349000.0,149454.0,Petrol,Individual,Automatic,Third Owner
Ford EcoSport,2012,139000.0,175187.0,Petrol,Individual,Manual,Fourth & Above
Ford EcoSport,2023,916000.0,21418.0,Petrol,Individual,Automatic,First Owner
Tata Nexon,2016,604000.0,103572.0,Petrol,Individual,Manual,First Owner
Honda Amaze,2011,355000.0,183737.0,Diesel,Individual,Automatic,First Owner
Volkswagen Polo,2008,226000.0,132303.0,Diesel,Individual,Automatic,First Owner
Hyundai i20,2020,922000.0,51707.0,Diesel,Dealer,Automatic,First Owner
Mahindra XUV500,2020,826000.0,65697.0,Petrol,Individual,Manual,First Owner
Volkswagen Polo,2021,851000.0,64075.0,Diesel,Dealer,Manual,First Owner
Toyota Innova,2015,437000.0,136874.0,Diesel,Trustmark Dealer,Manual,First Owner
Tata Nexon,2016,653000.0,108992.0,Petrol,Trustmark Dealer,Manual,Second Owner
Hyundai Creta,2009,230000.0,290053.0,Diesel,Individual,Manual,First Owner
Ford EcoSport,2020,901000.0,55174.0,Diesel,Individual,Manual,First Owner
Skoda Rapid,2015,506000.0,153866.0,Diesel,Individual,Manual,Second Owner
Tata Nexon,2010,,180300.0,Diesel,Dealer,Automatic,First Owner
