student_id,gender,study_hours_per_day,attendance_percent,previous_score,result
S1000,Female,4.8,82.4,79.8,Fail
S1001,Male,1.1,74.6,46.7,Fail
S1002,Female,1.8,83.4,34.1,Fail
S1003,Female,9.7,74.3,63.5,Pass
S1004,Male,2.2,89.2,76.0,Pass
S1005,Female,2.6,56.0,89.0,Fail
S1006,Female,9.0,74.0,69.7,Pass
S1007,Female,11.4,54.1,56.4,Fail
S1008,Male,2.4,60.1,48.6,Fail
S1009,Male,4.2,94.4,62.2,Pass
S1010,Male,5.8,88.7,57.5,Pass
S1011,Female,8.8,69.4,46.8,Pass
S1012,Female,2.8,60.0,92.7,Fail
S1013,Female,4.5,42.4,88.8,Pass
S1014,Male,6.7,71.5,79.0,Pass
S1015,Male,6.0,100.0,48.2,Pass
S1016,Female,4.2,83.2,74.8,Pass
S1017,Male,4.7,71.3,71.6,Fail
S1018,Female,2.0,83.6,68.6,Pass
S1019,Female,4.5,59.3,80.7,Pass
S1020,Female,4.4,74.4,71.5,Pass
S1021,Male,5.5,79.2,73.1,Pass
S1022,Female,3.8,77.0,71.6,Fail
S1023,Female,6.0,87.5,67.1,Pass
S1024,Female,7.2,82.1,35.2,Fail
S1025,Male,5.3,86.0,63.3,Pass
S1026,Male,5.8,69.7,53.7,Pass
S1027,Male,5.1,88.8,42.8,Pass
S1028,Male,5.0,97.5,87.2,Pass
S1029,Female,3.4,66.4,87.9,Fail
S1030,Female,5.7,67.3,82.4,Fail
S1031,Female,4.8,94.0,65.8,Pass
S1032,Male,9.6,75.7,82.3,Pass
S1033,Male,8.5,94.8,62.2,Pass
S1034,Male,5.8,72.7,65.0,Fail
S1035,Male,3.3,95.5,45.6,Fail
S1036,Male,2.6,79.6,68.0,Pass
S1037,Male,7.6,81.1,62.9,Pass
S1038,Male,5.6,96.8,42.5,Pass
S1039,Female,6.1,73.7,61.2,Fail
S1040,Male,1.2,66.7,60.8,Fail
S1041,Female,7.0,72.6,89.0,Pass
S1042,Female,6.0,83.4,75.4,Pass
S1043,Male,2.6,59.2,62.2,Fail
S1044,Female,4.0,85.6,65.7,Fail
S1045,Female,5.6,71.5,62.7,Fail
S1046,Male,5.1,91.8,59.0,Pass
S1047,Male,4.4,49.3,45.8,Fail
S1048,Female,4.8,68.6,59.7,Fail
S1049,Male,4.4,57.8,50.8,Fail
S1050,Male,5.3,68.1,43.2,Fail
S1051,Male,8.2,81.0,69.7,Pass
S1052,Female,0.0,75.8,67.9,Fail
S1053,Female,4.5,75.0,35.2,Fail
