invoice_id,branch,city,product_line,unit_price,quantity,total,payment,date
INV-5173,C,Vadodara,Health and beauty,77.71,4,326.38,Ewallet,2026-01-01
INV-5321,A,Ahmedabad,Sports and travel,51.92,2,109.03,Credit card,2026-01-01
INV-5224,C,Vadodara,Food and beverages,25.48,7,187.28,Cash,2026-01-01
INV-5298,A,Ahmedabad,Electronic accessories,75.08,6,473.0,Ewallet,2026-01-01
INV-5397,A,Ahmedabad,Health and beauty,92.42,10,970.41,Cash,2026-01-02
INV-5303,C,Vadodara,Fashion accessories,33.17,3,104.49,Credit card,2026-01-02
INV-5357,C,Vadodara,Health and beauty,51.73,9,488.85,Ewallet,2026-01-02
INV-5403,C,Vadodara,Fashion accessories,37.96,10,398.58,Credit card,2026-01-02
INV-5287,B,Surat,Food and beverages,39.63,3,124.83,Cash,2026-01-02
INV-5004,B,Surat,Electronic accessories,66.91,8,562.04,Credit card,2026-01-02
INV-5304,B,Surat,Food and beverages,84.41,2,177.26,Cash,2026-01-03
INV-5181,A,Ahmedabad,Health and beauty,20.7,2,43.47,Cash,2026-01-03
INV-5036,C,Vadodara,Home and lifestyle,40.81,9,385.65,Credit card,2026-01-03
INV-5496,A,Ahmedabad,Sports and travel,87.06,2,182.83,Credit card,2026-01-03
INV-5446,A,Ahmedabad,Fashion accessories,92.12,4,386.9,Ewallet,2026-01-03
INV-5044,A,Ahmedabad,Food and beverages,11.78,2,24.74,Cash,2026-01-04
INV-5254,B,Surat,Sports and travel,20.98,3,66.09,Credit card,2026-01-04
INV-5379,A,Ahmedabad,Sports and travel,48.61,4,204.16,Credit card,2026-01-04
INV-5132,A,Ahmedabad,Home and lifestyle,18.57,8,155.99,Cash,2026-01-04
INV-5370,B,Surat,Home and lifestyle,18.71,10,196.46,Ewallet,2026-01-05
INV-5116,A,Ahmedabad,Electronic accessories,22.42,7,164.79,Ewallet,2026-01-05
INV-5351,A,Ahmedabad,Food and beverages,85.39,10,896.6,Cash,2026-01-05
INV-5299,A,Ahmedabad,Home and lifestyle,45.02,9,425.44,Ewallet,2026-01-05
INV-5418,A,Ahmedabad,Electronic accessories,90.9,1,95.44,Cash,2026-01-06
INV-5297,B,Surat,Home and lifestyle,24.95,10,261.98,Cash,2026-01-06
INV-5280,A,Ahmedabad,Fashion accessories,42.28,1,44.39,Cash,2026-01-06
INV-5032,A,Ahmedabad,Health and beauty,55.8,6,351.54,Credit card,2026-01-06
INV-5000,A,Ahmedabad,Health and beauty,15.59,8,130.96,Ewallet,2026-01-06
INV-5008,A,Ahmedabad,Electronic accessories,75.36,7,553.9,Credit card,2026-01-06
INV-5079,C,Vadodara,Health and beauty,40.07,5,210.37,Cash,2026-01-07
INV-5151,A,Ahmedabad,Sports and travel,89.12,3,280.73,Ewallet,2026-01-07
INV-5113,B,Surat,Home and lifestyle,93.96,10,986.58,Ewallet,2026-01-07
INV-5315,B,Surat,Fashion accessories,71.24,9,673.22,Ewallet,2026-01-07
INV-5416,C,Vadodara,Sports and travel,59.11,7,434.46,Cash,2026-01-07
INV-5431,C,Vadodara,Food and beverages,65.1,8,546.84,Credit card,2026-01-07
INV-5060,C,Vadodara,Sports and travel,95.76,3,301.64,Cash,2026-01-07
INV-5487,B,Surat,Electronic accessories,52.21,10,548.21,Cash,2026-01-07
INV-5035,A,Ahmedabad,Health and beauty,68.24,10,716.52,Cash,2026-01-07
INV-5031,A,Ahmedabad,Health and beauty,74.78,3,235.56,Ewallet,2026-01-07
INV-5034,C,Vadodara,Sports and travel,47.74,1,50.13,Cash,2026-01-08
INV-5481,C,Vadodara,Food and beverages,16.01,3,50.43,Ewallet,2026-01-08
INV-5258,A,Ahmedabad,Health and beauty,57.35,6,361.31,Cash,2026-01-08
INV-5119,A,Ahmedabad,Health and beauty,89.64,9,847.1,Cash,2026-01-08
INV-5138,B,Surat,Food and beverages,14.63,5,76.81,Ewallet,2026-01-08
INV-5386,A,Ahmedabad,Health and beauty,73.52,8,617.57,Credit card,2026-01-08
INV-5042,C,Vadodara,Electronic accessories,69.0,4,289.8,Ewallet,2026-01-08
INV-5415,C,Vadodara,Home and lifestyle,81.62,5,428.51,Ewallet,2026-01-08
INV-5027,C,Vadodara,Health and beauty,42.97,8,360.95,Ewallet,2026-01-09
INV-5474,B,Surat,Health and beauty,56.76,3,178.79,Cash,2026-01-09
INV-5171,A,Ahmedabad,Sports and travel,76.4,10,802.2,Credit card,2026-01-09
INV-5458,C,Vadodara,Fashion accessories,95.11,9,898.79,Credit card,2026-01-09
INV-5352,A,Ahmedabad,Fashion accessories,35.6,2,74.76,Ewallet,2026-01-10
INV-5186,A,Ahmedabad,Home and lifestyle,45.87,8,385.31,Credit card,2026-01-10
INV-5226,C,Vadodara,Food and beverages,52.3,6,329.49,Cash,2026-01-10
INV-5282,C,Vadodara,Health and beauty,48.84,10,512.82,Credit card,2026-01-10
INV-5371,B,Surat,Electronic accessories,95.26,3,300.07,Cash,2026-01-10
INV-5306,A,Ahmedabad,Sports and travel,63.77,3,200.88,Credit card,2026-01-10
INV-5029,B,Surat,Fashion accessories,46.28,9,437.35,Cash,2026-01-11
INV-5090,B,Surat,Food and beverages,31.62,4,132.8,Ewallet,2026-01-11
INV-5290,C,Vadodara,Health and beauty,51.56,5,270.69,Cash,2026-01-11
INV-5150,C,Vadodara,Home and lifestyle,22.95,8,192.78,Credit card,2026-01-11
INV-5444,B,Surat,Health and beauty,27.56,10,289.38,Credit card,2026-01-12
INV-5026,B,Surat,Fashion accessories,95.28,2,200.09,Ewallet,2026-01-12
INV-5320,A,Ahmedabad,Health and beauty,54.68,1,57.41,Cash,2026-01-12
INV-5037,C,Vadodara,Health and beauty,46.73,2,98.13,Cash,2026-01-12
INV-5012,C,Vadodara,Fashion accessories,52.55,1,55.18,Cash,2026-01-12
INV-5472,B,Surat,Home and lifestyle,19.66,8,165.14,Cash,2026-01-12
INV-5273,C,Vadodara,Food and beverages,62.63,5,328.81,Ewallet,2026-01-12
INV-5013,C,Vadodara,Food and beverages,95.51,8,802.28,Cash,2026-01-13
INV-5492,C,Vadodara,Electronic accessories,68.34,4,287.03,Ewallet,2026-01-13
INV-5170,A,Ahmedabad,Fashion accessories,45.5,7,334.42,Cash,2026-01-13
INV-5388,C,Vadodara,Health and beauty,91.27,3,287.5,Cash,2026-01-13
INV-5105,C,Vadodara,Sports and travel,79.69,4,334.7,Ewallet,2026-01-13
INV-5334,B,Surat,Fashion accessories,96.72,1,101.56,Ewallet,2026-01-13
INV-5185,B,Surat,Food and beverages,84.08,10,882.84,Cash,2026-01-14
INV-5102,C,Vadodara,Food and beverages,81.78,1,85.87,Ewallet,2026-01-14
INV-5427,C,Vadodara,Electronic accessories,16.97,9,160.37,Ewallet,2026-01-14
INV-5307,B,Surat,Health and beauty,70.21,2,147.44,Cash,2026-01-14
INV-5329,B,Surat,Health and beauty,24.45,10,256.73,Cash,2026-01-14
INV-5200,B,Surat,Sports and travel,60.98,10,640.29,Cash,2026-01-14
INV-5067,B,Surat,Electronic accessories,71.69,8,602.2,Cash,2026-01-14
INV-5479,A,Ahmedabad,Sports and travel,53.02,8,445.37,Cash,2026-01-14
INV-5206,C,Vadodara,Health and beauty,64.14,10,673.47,Ewallet,2026-01-15
INV-5384,A,Ahmedabad,Food and beverages,96.28,8,808.75,Cash,2026-01-15
INV-5260,C,Vadodara,Electronic accessories,13.98,5,73.4,Ewallet,2026-01-16
INV-5061,C,Vadodara,Health and beauty,64.91,4,272.62,Cash,2026-01-16
INV-5016,B,Surat,Fashion accessories,71.03,6,447.49,Cash,2026-01-16
INV-5023,C,Vadodara,Food and beverages,57.83,2,121.44,Credit card,2026-01-16
INV-5058,C,Vadodara,Food and beverages,58.79,4,246.92,Credit card,2026-01-16
INV-5189,A,Ahmedabad,Food and beverages,68.82,9,650.35,Credit card,2026-01-16
INV-5449,A,Ahmedabad,Electronic accessories,28.17,5,147.89,Cash,2026-01-16
INV-5286,A,Ahmedabad,Health and beauty,45.23,2,94.98,Ewallet,2026-01-16
INV-5291,A,Ahmedabad,Home and lifestyle,69.29,5,363.77,Credit card,2026-01-16
INV-5387,C,Vadodara,Electronic accessories,37.16,8,312.14,Cash,2026-01-16
INV-5378,B,Surat,Sports and travel,67.08,9,633.91,Credit card,2026-01-17
INV-5167,A,Ahmedabad,Fashion accessories,58.5,3,184.28,Ewallet,2026-01-17
INV-5323,C,Vadodara,Sports and travel,80.8,7,593.88,Credit card,2026-01-17
INV-5028,B,Surat,Fashion accessories,76.47,3,240.88,Ewallet,2026-01-17
INV-5434,B,Surat,Home and lifestyle,28.52,3,89.84,Ewallet,2026-01-17
INV-5275,B,Surat,Fashion accessories,38.9,10,408.45,Ewallet,2026-01-17
INV-5412,A,Ahmedabad,Home and lifestyle,85.79,3,270.24,Ewallet,2026-01-18
INV-5336,C,Vadodara,Food and beverages,26.88,6,169.34,Ewallet,2026-01-18
INV-5408,C,Vadodara,Home and lifestyle,88.06,7,647.24,Cash,2026-01-18
INV-5192,B,Surat,Fashion accessories,88.76,7,652.39,Cash,2026-01-18
INV-5464,A,Ahmedabad,Fashion accessories,68.79,4,288.92,Ewallet,2026-01-18
INV-5393,B,Surat,Fashion accessories,15.38,2,32.3,Cash,2026-01-19
INV-5003,B,Surat,Fashion accessories,23.71,10,248.96,Credit card,2026-01-19
INV-5235,C,Vadodara,Food and beverages,18.92,6,119.2,Credit card,2026-01-19
INV-5082,A,Ahmedabad,Health and beauty,93.15,3,293.42,Cash,2026-01-19
INV-5331,B,Surat,Electronic accessories,54.69,9,516.82,Credit card,2026-01-19
INV-5451,C,Vadodara,Electronic accessories,65.6,1,68.88,Cash,2026-01-20
INV-5368,A,Ahmedabad,Home and lifestyle,26.96,5,141.54,Cash,2026-01-20
INV-5169,A,Ahmedabad,Health and beauty,18.35,7,134.87,Credit card,2026-01-20
INV-5025,B,Surat,Electronic accessories,37.22,7,273.57,Credit card,2026-01-20
INV-5085,C,Vadodara,Fashion accessories,77.05,4,323.61,Credit card,2026-01-20
INV-5182,B,Surat,Fashion accessories,17.74,8,149.02,Cash,2026-01-20
INV-5459,A,Ahmedabad,Home and lifestyle,44.05,4,185.01,Credit card,2026-01-20
INV-5240,A,Ahmedabad,Food and beverages,87.43,3,275.4,Cash,2026-01-21
