Name,Size,Stars,Reviews,Actual Price,Final Price,Launch Year,Discount
LG UR7500 126 cm,50 inch,4.4,"1,631","69,990","37,990",2023,45%
Foxsky 139 cm,55 inch,4.3,845,"98,990","23,999",2024,75%
MOTOROLA 109 cm,43 inch,4.3,108,"53,999","20,999",2025,61%
MOTOROLA 140 cm,55 inch,4.3,108,"64,999","31,999",2025,50%
XIAOMI FX Pro 108 cm,43 inch,4,93,"49,999","27,999",2025,44%
Hisense E6N 139 cm,55 inch,4.3,"1,294","59,999","30,999",2024,48%
realme TechLife 140 cm,55 inch,4.3,87,"70,999","28,999",2025,59%
iFFALCON by TCL U65 108 cm,43 inch,4.2,43,"50,990","18,999",2025,62%
iFFALCON by TCL U62 139 cm,55 inch,4.2,"8,473","73,990","26,000",2022,64%
MOTOROLA 165 cm,65 inch,4.3,108,"95,999","42,999",2025,55%
Foxsky 109 cm,43 inch,4.3,845,"45,499","18,999",2024,58%
SONY BRAVIA 2 II 189.3 cm,75 inch,NaN,NaN,"2,39,900","1,30,990",2025,45%
realme TechLife 109 cm,43 inch,4.3,87,"52,999","21,499",2025,59%
Samsung Crystal 4K Vision Pro 125 cm,50 inch,4.3,"3,634","63,900","42,990",2024,32%
iFFALCON by TCL U65 138 cm,55 inch,4.2,43,"73,990","26,999",2025,63%
TCL C69B 139 cm,55 inch,4.2,"1,163","1,20,990","36,990",2024,69%
Foxsky 139 cm,55 inch,3.7,40,"97,990","26,999",2023,72%
SONY Bravia 2 138.8 cm,55 inch,4.7,"2,382","99,900","57,990",2024,41%
iFFALCON by TCL U64 139 cm,55 inch,4.2,"8,473","73,990","25,999",2024,64%
LG UR75 126 cm,50 inch,4.4,"1,631","69,990","38,990",2025,44%
Hisense E68N 108 cm,43 inch,4.2,452,"49,999","25,999",2024,48%
Hisense Q6N 164 cm,65 inch,4.2,452,"99,999","59,999",2024,40%
TCL C655 139 cm,55 inch,4.2,267,"1,21,990","40,999",2024,66%
SONY Bravia 2 108 cm,43 inch,4.7,"2,382","59,900","38,990",2024,34%
